PASSENGERID,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male
54,1,2,29.0,1,0,26.0,1,0
55,0,1,65.0,0,1,61.9792,0,1
56,1,1,43.0,0,0,35.5,0,1
57,1,2,21.0,0,0,10.5,1,0
58,0,3,28.5,0,0,7.2292,0,1
59,1,2,5.0,1,2,27.75,1,0
60,0,3,11.0,5,2,46.9,0,1
61,0,3,22.0,0,0,7.2292,0,1
62,1,1,38.0,0,0,80.0,1,0
63,0,1,45.0,1,0,83.475,0,1
64,0,3,4.0,3,2,27.9,0,1
65,0,1,12.333333333333334,0,0,27.7208,0,1
66,1,3,20.666666666666668,1,1,15.2458,0,1
67,1,2,29.0,0,0,10.5,1,0
68,0,3,19.0,0,0,8.1583,0,1
69,1,3,17.0,4,2,7.925,1,0
70,0,3,26.0,2,0,8.6625,0,1
71,0,2,32.0,0,0,10.5,0,1
72,0,3,16.0,5,2,46.9,1,0
73,0,2,21.0,0,0,73.5,0,1
74,0,3,26.0,1,0,14.4542,0,1
75,1,3,32.0,0,0,56.4958,0,1
76,0,3,25.0,0,0,7.65,0,1
77,0,3,16.943333333333335,0,0,7.8958,0,1
78,0,3,8.886666666666667,0,0,8.05,0,1
79,1,2,0.83,0,2,29.0,0,1
80,1,3,30.0,0,0,12.475,1,0
81,0,3,22.0,0,0,9.0,0,1
82,1,3,29.0,0,0,9.5,0,1
83,1,3,28.5,0,0,7.7875,1,0
84,0,1,28.0,0,0,47.1,0,1
85,1,2,17.0,0,0,10.5,1,0
86,1,3,33.0,3,0,15.85,1,0
87,0,3,16.0,1,3,34.375,0,1
88,0,3,19.5,0,0,8.05,0,1
89,1,1,23.0,3,2,263.0,1,0
90,0,3,24.0,0,0,8.05,0,1
91,0,3,29.0,0,0,8.05,0,1
92,0,3,20.0,0,0,7.8542,0,1
93,0,1,46.0,1,0,61.175,0,1
94,0,3,26.0,1,2,20.575,0,1
95,0,3,59.0,0,0,7.25,0,1
96,0,3,65.0,0,0,8.05,0,1
97,0,1,71.0,0,0,34.6542,0,1
98,1,1,23.0,0,1,63.3583,0,1
99,1,2,34.0,0,1,23.0,1,0
100,0,2,34.0,1,0,26.0,0,1
101,0,3,28.0,0,0,7.8958,1,0
102,0,3,24.5,0,0,7.8958,0,1
103,0,1,21.0,0,1,77.2875,0,1
104,0,3,33.0,0,0,8.6542,0,1
105,0,3,37.0,2,0,7.925,0,1
106,0,3,28.0,0,0,7.8958,0,1
107,1,3,21.0,0,0,7.65,1,0
108,1,3,29.5,0,0,7.775,0,1
109,0,3,38.0,0,0,7.8958,0,1
110,1,3,42.5,1,0,24.15,1,0
111,0,1,47.0,0,0,52.0,0,1
112,0,3,14.5,1,0,14.4542,1,0
113,0,3,22.0,0,0,8.05,0,1
114,0,3,20.0,1,0,9.825,1,0
115,0,3,17.0,0,0,14.4583,1,0
116,0,3,21.0,0,0,7.925,0,1
117,0,3,70.5,0,0,7.75,0,1
118,0,2,29.0,1,0,21.0,0,1
119,0,1,24.0,0,1,247.5208,0,1
120,0,3,2.0,4,2,31.275,1,0
121,0,2,21.0,2,0,73.5,0,1
122,0,3,26.75,0,0,8.05,0,1
123,0,2,32.5,1,0,30.0708,0,1
124,1,2,32.5,0,0,13.0,1,0
125,0,1,54.0,0,1,77.2875,0,1
126,1,3,12.0,1,0,11.2417,0,1
127,0,3,18.0,0,0,7.75,0,1
128,1,3,24.0,0,0,7.1417,0,1
129,1,3,34.5,1,1,22.3583,1,0
130,0,3,45.0,0,0,6.975,0,1
131,0,3,33.0,0,0,7.8958,0,1
132,0,3,20.0,0,0,7.05,0,1
133,0,3,47.0,1,0,14.5,1,0
134,1,2,29.0,1,0,26.0,1,0
135,0,2,25.0,0,0,13.0,0,1
136,0,2,23.0,0,0,15.0458,0,1
137,1,1,19.0,0,2,26.2833,1,0
138,0,1,37.0,1,0,53.1,0,1
139,0,3,16.0,0,0,9.2167,0,1
140,0,1,24.0,0,0,79.2,0,1
141,0,3,23.0,0,2,15.2458,1,0
142,1,3,22.0,0,0,7.75,1,0
143,1,3,24.0,1,0,15.85,1,0
144,0,3,19.0,0,0,6.75,0,1
145,0,2,18.0,0,0,11.5,0,1
146,0,2,19.0,1,1,36.75,0,1
147,1,3,27.0,0,0,7.7958,0,1
148,0,3,9.0,2,2,34.375,1,0
149,0,2,36.5,0,2,26.0,0,1
150,0,2,42.0,0,0,13.0,0,1
151,0,2,51.0,0,0,12.525,0,1
152,1,1,22.0,1,0,66.6,1,0
153,0,3,55.5,0,0,8.05,0,1
154,0,3,40.5,0,2,14.5,0,1
155,0,3,45.75,0,0,7.3125,0,1
156,0,1,51.0,0,1,61.3792,0,1
157,1,3,16.0,0,0,7.7333,1,0
158,0,3,30.0,0,0,8.05,0,1
159,0,3,34.666666666666664,0,0,8.6625,0,1
160,0,3,39.333333333333336,8,2,69.55,0,1
161,0,3,44.0,0,1,16.1,0,1
162,1,2,40.0,0,0,15.75,1,0
163,0,3,26.0,0,0,7.775,0,1
164,0,3,17.0,0,0,8.6625,0,1
165,0,3,1.0,4,1,39.6875,0,1
166,1,3,9.0,0,2,20.525,0,1
167,1,1,27.0,0,1,55.0,1,0
168,0,3,45.0,1,4,27.9,1,0
169,0,1,36.5,0,0,25.925,0,1
170,0,3,28.0,0,0,56.4958,0,1
171,0,1,61.0,0,0,33.5,0,1
172,0,3,4.0,4,1,29.125,0,1
173,1,3,1.0,1,1,11.1333,1,0
174,0,3,21.0,0,0,7.925,0,1
175,0,1,56.0,0,0,30.6958,0,1
176,0,3,18.0,1,1,7.8542,0,1
177,0,3,34.0,3,1,25.4667,0,1
178,0,1,50.0,0,0,28.7125,1,0
179,0,2,30.0,0,0,13.0,0,1
180,0,3,36.0,0,0,0.0,0,1
181,0,3,27.0,8,2,69.55,1,0
182,0,2,18.0,0,0,15.05,0,1
183,0,3,9.0,4,2,31.3875,0,1
184,1,2,1.0,2,1,39.0,0,1
185,1,3,4.0,0,2,22.025,1,0
186,0,1,17.666666666666664,0,0,50.0,0,1
187,1,3,31.333333333333332,1,0,15.5,1,0
188,1,1,45.0,0,0,26.55,0,1
189,0,3,40.0,1,1,15.5,0,1
190,0,3,36.0,0,0,7.8958,0,1
191,1,2,32.0,0,0,13.0,1,0
192,0,2,19.0,0,0,13.0,0,1
193,1,3,19.0,1,0,7.8542,1,0
194,1,2,3.0,1,1,26.0,0,1
195,1,1,44.0,0,0,27.7208,1,0
196,1,1,58.0,0,0,146.5208,1,0
197,0,3,50.0,0,0,7.75,0,1
198,0,3,42.0,0,1,8.4042,0,1
199,1,3,33.0,0,0,7.75,1,0
200,0,2,24.0,0,0,13.0,1,0
201,0,3,28.0,0,0,9.5,0,1
202,0,3,31.0,8,2,69.55,0,1
203,0,3,34.0,0,0,6.4958,0,1
204,0,3,45.5,0,0,7.225,0,1
205,1,3,18.0,0,0,8.05,0,1
206,0,3,2.0,0,1,10.4625,1,0
207,0,3,32.0,1,0,15.85,0,1
208,1,3,26.0,0,0,18.7875,0,1
209,1,3,16.0,0,0,7.75,1,0
210,1,1,40.0,0,0,31.0,0,1
211,0,3,24.0,0,0,7.05,0,1
212,1,2,35.0,0,0,21.0,1,0
213,0,3,22.0,0,0,7.25,0,1
214,0,2,30.0,0,0,13.0,0,1
215,0,3,30.5,1,0,7.75,0,1
216,1,1,31.0,1,0,113.275,1,0
217,1,3,27.0,0,0,7.925,1,0
218,0,2,42.0,1,0,27.0,0,1
219,1,1,32.0,0,0,76.2917,1,0
220,0,2,30.0,0,0,10.5,0,1
221,1,3,16.0,0,0,8.05,0,1
222,0,2,27.0,0,0,13.0,0,1
223,0,3,51.0,0,0,8.05,0,1
224,0,3,44.5,0,0,7.8958,0,1
225,1,1,38.0,1,0,90.0,0,1
226,0,3,22.0,0,0,9.35,0,1
227,1,2,19.0,0,0,10.5,0,1
228,0,3,20.5,0,0,7.25,0,1
229,0,2,18.0,0,0,13.0,0,1
230,0,3,26.5,3,1,25.4667,1,0
231,1,1,35.0,1,0,83.475,1,0
232,0,3,29.0,0,0,7.775,0,1
233,0,2,59.0,0,0,13.5,0,1
234,1,3,5.0,4,2,31.3875,1,0
235,0,2,24.0,0,0,10.5,0,1
236,0,3,34.0,0,0,7.55,1,0
237,0,2,44.0,1,0,26.0,0,1
238,1,2,8.0,0,2,26.25,1,0
239,0,2,19.0,0,0,10.5,0,1
240,0,2,33.0,0,0,12.275,0,1
241,0,3,31.666666666666668,1,0,14.4542,1,0
242,1,3,30.333333333333332,1,0,15.5,1,0
243,0,2,29.0,0,0,10.5,0,1
244,0,3,22.0,0,0,7.125,0,1
245,0,3,30.0,0,0,7.225,0,1
246,0,1,44.0,2,0,90.0,0,1
247,0,3,25.0,0,0,7.775,1,0
248,1,2,24.0,0,2,14.5,1,0
249,1,1,37.0,1,1,52.5542,0,1
250,0,2,54.0,1,0,26.0,0,1
251,0,3,41.5,0,0,7.25,0,1
252,0,3,29.0,1,1,10.4625,1,0
253,0,1,62.0,0,0,26.55,0,1
254,0,3,30.0,1,0,16.1,0,1
255,0,3,41.0,0,2,20.2125,1,0
256,1,3,29.0,0,2,15.2458,1,0
257,1,1,29.5,0,0,79.2,1,0
258,1,1,30.0,0,0,86.5,1,0
259,1,1,35.0,0,0,512.3292,1,0
260,1,2,50.0,0,1,26.0,1,0
261,0,3,26.5,0,0,7.75,0,1
262,1,3,3.0,4,2,31.3875,0,1
263,0,1,52.0,1,1,79.65,0,1
264,0,1,40.0,0,0,0.0,0,1
265,0,3,38.0,0,0,7.75,1,0
266,0,2,36.0,0,0,10.5,0,1
267,0,3,16.0,4,1,39.6875,0,1
268,1,3,25.0,1,0,7.775,0,1
269,1,1,58.0,0,1,153.4625,1,0
270,1,1,35.0,0,0,135.6333,1,0
271,0,1,30.0,0,0,31.0,0,1
272,1,3,25.0,0,0,0.0,0,1
273,1,2,41.0,0,1,19.5,1,0
274,0,1,37.0,0,1,29.7,0,1
275,1,3,50.0,0,0,7.75,1,0
276,1,1,63.0,1,0,77.9583,1,0
277,0,3,45.0,0,0,7.75,1,0
278,0,2,26.0,0,0,0.0,0,1
279,0,3,7.0,4,1,29.125,0,1
280,1,3,35.0,1,1,20.25,1,0
281,0,3,65.0,0,0,7.75,0,1
282,0,3,28.0,0,0,7.8542,0,1
283,0,3,16.0,0,0,9.5,0,1
284,1,3,19.0,0,0,8.05,0,1
285,0,1,26.0,0,0,26.0,0,1
286,0,3,33.0,0,0,8.6625,0,1
287,1,3,30.0,0,0,9.5,0,1
288,0,3,22.0,0,0,7.8958,0,1
289,1,2,42.0,0,0,13.0,0,1
290,1,3,22.0,0,0,7.75,1,0
291,1,1,26.0,0,0,78.85,1,0
292,1,1,19.0,1,0,91.0792,1,0
293,0,2,36.0,0,0,12.875,0,1
294,0,3,24.0,0,0,8.85,1,0
295,0,3,24.0,0,0,7.8958,0,1
296,0,1,23.75,0,0,27.7208,0,1
297,0,3,23.5,0,0,7.2292,0,1
298,0,1,2.0,1,2,151.55,1,0
299,1,1,26.0,0,0,30.5,0,1
300,1,1,50.0,0,1,247.5208,1,0
301,1,3,39.666666666666664,0,0,7.75,1,0
302,1,3,29.333333333333332,2,0,23.25,0,1
303,0,3,19.0,0,0,0.0,0,1
304,1,2,12.973333333333333,0,0,12.35,1,0
305,0,3,6.946666666666667,0,0,8.05,0,1
306,1,1,0.92,1,2,151.55,0,1
307,1,1,8.959999999999999,0,0,110.8833,1,0
308,1,1,17.0,1,0,108.9,1,0
309,0,2,30.0,1,0,24.0,0,1
310,1,1,30.0,0,0,56.9292,1,0
311,1,1,24.0,0,0,83.1583,1,0
312,1,1,18.0,2,2,262.375,1,0
313,0,2,26.0,1,1,26.0,1,0
314,0,3,28.0,0,0,7.8958,0,1
315,0,2,43.0,1,1,26.25,0,1
316,1,3,26.0,0,0,7.8542,1,0
317,1,2,24.0,1,0,26.0,1,0
318,0,2,54.0,0,0,14.0,0,1
319,1,1,31.0,0,2,164.8667,1,0
320,1,1,40.0,1,1,134.5,1,0
321,0,3,22.0,0,0,7.25,0,1
322,0,3,27.0,0,0,7.8958,0,1
323,1,2,30.0,0,0,12.35,1,0
324,1,2,22.0,1,1,29.0,1,0
325,0,3,29.0,8,2,69.55,0,1
326,1,1,36.0,0,0,135.6333,1,0
327,0,3,61.0,0,0,6.2375,0,1
328,1,2,36.0,0,0,13.0,1,0
329,1,3,31.0,1,1,20.525,1,0
330,1,1,16.0,0,1,57.9792,1,0
331,1,3,30.75,2,0,23.25,1,0
332,0,1,45.5,0,0,28.5,0,1
333,0,1,38.0,0,1,153.4625,0,1
334,0,3,16.0,2,0,18.0,0,1
335,1,1,20.333333333333332,1,0,133.65,1,0
336,0,3,24.666666666666664,0,0,7.8958,0,1
337,0,1,29.0,1,0,66.6,0,1
338,1,1,41.0,0,0,134.5,1,0
339,1,3,45.0,0,0,8.05,0,1
340,0,1,45.0,0,0,35.5,0,1
341,1,2,2.0,1,1,26.0,0,1
342,1,1,24.0,3,2,263.0,1,0
343,0,2,28.0,0,0,13.0,0,1
344,0,2,25.0,0,0,13.0,0,1
345,0,2,36.0,0,0,13.0,0,1
346,1,2,24.0,0,0,13.0,1,0
347,1,2,40.0,0,0,13.0,1,0
348,1,3,21.5,1,0,16.1,1,0
349,1,3,3.0,1,1,15.9,0,1
350,0,3,42.0,0,0,8.6625,0,1
351,0,3,23.0,0,0,9.225,0,1
352,0,1,19.0,0,0,35.0,0,1
353,0,3,15.0,1,1,7.2292,0,1
354,0,3,25.0,1,0,17.8,0,1
355,0,3,26.5,0,0,7.225,0,1
356,0,3,28.0,0,0,9.5,0,1
357,1,1,22.0,0,1,55.0,1,0
358,0,2,38.0,0,0,13.0,1,0
359,1,3,38.666666666666664,0,0,7.8792,1,0
360,1,3,39.333333333333336,0,0,7.8792,1,0
361,0,3,40.0,1,4,27.9,0,1
362,0,2,29.0,1,0,27.7208,0,1
363,0,3,45.0,0,1,14.4542,1,0
364,0,3,35.0,0,0,7.05,0,1
365,0,3,32.5,1,0,15.5,0,1
366,0,3,30.0,0,0,7.25,0,1
367,1,1,60.0,1,0,75.25,1,0
368,1,3,48.0,0,0,7.2292,1,0
369,1,3,36.0,0,0,7.75,1,0
370,1,1,24.0,0,0,69.3,1,0
371,1,1,25.0,1,0,55.4417,0,1
372,0,3,18.0,1,0,6.4958,0,1
373,0,3,19.0,0,0,8.05,0,1
374,0,1,22.0,0,0,135.6333,0,1
375,0,3,3.0,3,1,21.075,1,0
376,1,1,12.5,1,0,82.1708,1,0
377,1,3,22.0,0,0,7.25,1,0
378,0,1,27.0,0,2,211.5,0,1
379,0,3,20.0,0,0,4.0125,0,1
380,0,3,19.0,0,0,7.775,0,1
381,1,1,42.0,0,0,227.525,1,0
382,1,3,1.0,0,2,15.7417,1,0
383,0,3,32.0,0,0,7.925,0,1
384,1,1,35.0,1,0,52.0,1,0
385,0,3,26.5,0,0,7.8958,0,1
386,0,2,18.0,0,0,73.5,0,1
387,0,3,1.0,5,2,46.9,0,1
388,1,2,36.0,0,0,13.0,1,0
389,0,3,26.5,0,0,7.7292,0,1
390,1,2,17.0,0,0,12.0,1,0
391,1,1,36.0,1,2,120.0,0,1
392,1,3,21.0,0,0,7.7958,0,1
393,0,3,28.0,2,0,7.925,0,1
394,1,1,23.0,1,0,113.275,1,0
395,1,3,24.0,0,2,16.7,1,0
396,0,3,22.0,0,0,7.7958,0,1
397,0,3,31.0,0,0,7.8542,1,0
398,0,2,46.0,0,0,26.0,0,1
399,0,2,23.0,0,0,10.5,0,1
400,1,2,28.0,0,0,12.65,1,0
401,1,3,39.0,0,0,7.925,0,1
402,0,3,26.0,0,0,8.05,0,1
403,0,3,21.0,1,0,9.825,1,0
404,0,3,28.0,1,0,15.85,0,1
405,0,3,20.0,0,0,8.6625,1,0
406,0,2,34.0,1,0,21.0,0,1
407,0,3,51.0,0,0,7.75,0,1
408,1,2,3.0,1,1,18.75,0,1
409,0,3,21.0,0,0,7.775,0,1
410,0,3,24.0,3,1,25.4667,1,0
411,0,3,27.0,0,0,7.8958,0,1
412,0,3,30.0,0,0,6.8583,0,1
413,1,1,33.0,1,0,90.0,1,0
414,0,2,38.5,0,0,0.0,0,1
415,1,3,44.0,0,0,7.925,0,1
416,0,3,39.0,0,0,8.05,1,0
417,1,2,34.0,1,1,32.5,1,0
418,1,2,18.0,0,2,13.0,1,0
419,0,2,30.0,0,0,13.0,0,1
420,0,3,10.0,0,2,24.15,1,0
421,0,3,15.5,0,0,7.8958,0,1
422,0,3,21.0,0,0,7.7333,0,1
423,0,3,29.0,0,0,7.875,0,1
424,0,3,28.0,1,1,14.4,1,0
425,0,3,18.0,1,1,20.2125,0,1
426,0,3,23.0,0,0,7.25,0,1
427,1,2,28.0,1,0,26.0,1,0
428,1,2,19.0,0,0,26.0,1,0
429,0,3,25.5,0,0,7.75,0,1
430,1,3,32.0,0,0,8.05,0,1
431,1,1,28.0,0,0,26.55,0,1
432,1,3,35.0,1,0,16.1,1,0
433,1,2,42.0,1,0,26.0,1,0
434,0,3,17.0,0,0,7.125,0,1
435,0,1,50.0,1,0,55.9,0,1
436,1,1,14.0,1,2,120.0,1,0
437,0,3,21.0,2,2,34.375,1,0
438,1,2,24.0,2,3,18.75,1,0
439,0,1,64.0,1,4,263.0,0,1
440,0,2,31.0,0,0,10.5,0,1
441,1,2,45.0,1,1,26.25,1,0
442,0,3,20.0,0,0,9.5,0,1
443,0,3,25.0,1,0,7.775,0,1
444,1,2,28.0,0,0,13.0,1,0
445,1,3,16.0,0,0,8.1125,0,1
446,1,1,4.0,0,2,81.8583,0,1
447,1,2,13.0,0,1,19.5,1,0
448,1,1,34.0,0,0,26.55,0,1
449,1,3,5.0,2,1,19.2583,1,0
450,1,1,52.0,0,0,30.5,0,1
451,0,2,36.0,1,2,27.75,0,1
452,0,3,33.0,1,0,19.9667,0,1
453,0,1,30.0,0,0,27.75,0,1
454,1,1,49.0,1,0,89.1042,0,1
455,0,3,39.0,0,0,8.05,0,1
456,1,3,29.0,0,0,7.8958,0,1
457,0,1,65.0,0,0,26.55,0,1
458,1,1,57.5,1,0,51.8625,1,0
459,1,2,50.0,0,0,10.5,1,0
460,0,3,49.0,0,0,7.75,0,1
461,1,1,48.0,0,0,26.55,0,1
462,0,3,34.0,0,0,8.05,0,1
463,0,1,47.0,0,0,38.5,0,1
464,0,2,48.0,0,0,13.0,0,1
465,0,3,43.0,0,0,8.05,0,1
466,0,3,38.0,0,0,7.05,0,1
467,0,2,47.0,0,0,0.0,0,1
468,0,1,56.0,0,0,26.55,0,1
469,0,3,28.375,0,0,7.725,0,1
470,1,3,0.75,2,1,19.2583,1,0
471,0,3,19.375,0,0,7.25,0,1
472,0,3,38.0,0,0,8.6625,0,1
473,1,2,33.0,1,2,27.75,1,0
474,1,2,23.0,0,0,13.7917,1,0
475,0,3,22.0,0,0,9.8375,1,0
476,0,1,28.0,0,0,52.0,0,1
477,0,2,34.0,1,0,21.0,0,1
478,0,3,29.0,1,0,7.0458,0,1
479,0,3,22.0,0,0,7.5208,0,1
480,1,3,2.0,0,1,12.2875,1,0
481,0,3,9.0,5,2,46.9,0,1
482,0,2,29.5,0,0,0.0,0,1
483,0,3,50.0,0,0,8.05,0,1
484,1,3,63.0,0,0,9.5875,1,0
485,1,1,25.0,1,0,91.0792,0,1
486,0,3,30.0,3,1,25.4667,1,0
487,1,1,35.0,1,0,90.0,1,0
488,0,1,58.0,0,0,29.7,0,1
489,0,3,30.0,0,0,8.05,0,1
490,1,3,9.0,1,1,15.9,0,1
491,0,3,15.0,1,0,19.9667,0,1
492,0,3,21.0,0,0,7.25,0,1
493,0,1,55.0,0,0,30.5,0,1
494,0,1,71.0,0,0,49.5042,0,1
495,0,3,21.0,0,0,8.05,0,1
496,0,3,37.5,0,0,14.4583,0,1
497,1,1,54.0,1,0,78.2667,1,0
498,0,3,39.5,0,0,15.1,0,1
499,0,1,25.0,1,2,151.55,1,0
500,0,3,24.0,0,0,7.7958,0,1
501,0,3,17.0,0,0,8.6625,0,1
502,0,3,21.0,0,0,7.75,1,0
503,0,3,29.0,0,0,7.6292,1,0
504,0,3,37.0,0,0,9.5875,1,0
505,1,1,16.0,0,0,86.5,1,0
506,0,1,18.0,1,0,108.9,0,1
507,1,2,33.0,0,2,26.0,1,0
508,1,1,30.5,0,0,26.55,0,1
509,0,3,28.0,0,0,22.525,0,1
510,1,3,26.0,0,0,56.4958,0,1
511,1,3,29.0,0,0,7.75,0,1
512,0,3,32.5,0,0,8.05,0,1
513,1,1,36.0,0,0,26.2875,0,1
514,1,1,54.0,1,0,59.4,1,0
515,0,3,24.0,0,0,7.4958,0,1
516,0,1,47.0,0,0,34.0208,0,1
517,1,2,34.0,0,0,10.5,1,0
518,0,3,35.0,0,0,24.15,0,1
519,1,2,36.0,1,0,26.0,1,0
520,0,3,32.0,0,0,7.8958,0,1
521,1,1,30.0,0,0,93.5,1,0
522,0,3,22.0,0,0,7.8958,0,1
523,0,3,33.0,0,0,7.225,0,1
524,1,1,44.0,0,1,57.9792,1,0
525,0,3,42.25,0,0,7.2292,0,1
526,0,3,40.5,0,0,7.75,0,1
527,1,2,50.0,0,0,10.5,1,0
528,0,1,44.5,0,0,221.7792,0,1
529,0,3,39.0,0,0,7.925,0,1
530,0,2,23.0,2,1,11.5,0,1
531,1,2,2.0,1,1,26.0,1,0
532,0,3,9.5,0,0,7.2292,0,1
533,0,3,17.0,1,1,7.2292,0,1
534,1,3,23.5,0,2,22.3583,1,0
535,0,3,30.0,0,0,8.6625,1,0
536,1,2,7.0,0,2,26.25,1,0
537,0,1,45.0,0,0,26.55,0,1
538,1,1,30.0,0,0,106.425,1,0
539,0,3,26.0,0,0,14.5,0,1
540,1,1,22.0,0,2,49.5,1,0
541,1,1,36.0,0,2,71.0,1,0
542,0,3,9.0,4,2,31.275,1,0
543,0,3,11.0,4,2,31.275,1,0
544,1,2,32.0,1,0,26.0,0,1
545,0,1,50.0,1,0,106.425,0,1
546,0,1,64.0,0,0,26.0,0,1
547,1,2,19.0,1,0,26.0,1,0
548,1,2,26.0,0,0,13.8625,0,1
549,0,3,33.0,1,1,20.525,0,1
550,1,2,8.0,1,1,36.75,0,1
551,1,1,17.0,0,2,110.8833,0,1
552,0,2,27.0,0,0,26.0,0,1
553,0,3,24.5,0,0,7.8292,0,1
554,1,3,22.0,0,0,7.225,0,1
555,1,3,22.0,0,0,7.775,1,0
556,0,1,62.0,0,0,26.55,0,1
557,1,1,48.0,1,0,39.6,1,0
558,0,1,43.5,0,0,227.525,0,1
559,1,1,39.0,1,1,79.65,1,0
560,1,3,36.0,1,0,17.4,1,0
561,0,3,38.0,0,0,7.75,0,1
562,0,3,40.0,0,0,7.8958,0,1
563,0,2,28.0,0,0,13.5,0,1
564,0,3,26.666666666666668,0,0,8.05,0,1
565,0,3,25.333333333333332,0,0,8.05,1,0
566,0,3,24.0,2,0,24.15,0,1
567,0,3,19.0,0,0,7.8958,0,1
568,0,3,29.0,0,4,21.075,1,0
569,0,3,30.5,0,0,7.2292,0,1
570,1,3,32.0,0,0,7.8542,0,1
571,1,2,62.0,0,0,10.5,0,1
572,1,1,53.0,2,0,51.4792,1,0
573,1,1,36.0,0,0,26.3875,0,1
574,1,3,26.0,0,0,7.75,1,0
575,0,3,16.0,0,0,8.05,0,1
576,0,3,19.0,0,0,14.5,0,1
577,1,2,34.0,0,0,13.0,1,0
578,1,1,39.0,1,0,55.9,1,0
579,0,3,35.5,1,0,14.4583,1,0
580,1,3,32.0,0,0,7.925,0,1
581,1,2,25.0,1,1,30.0,1,0
582,1,1,39.0,1,1,110.8833,1,0
583,0,2,54.0,0,0,26.0,0,1
584,0,1,36.0,0,0,40.125,0,1
585,0,3,27.0,0,0,8.7125,0,1
586,1,1,18.0,0,2,79.65,1,0
587,0,2,47.0,0,0,15.0,0,1
588,1,1,60.0,1,1,79.2,0,1
589,0,3,22.0,0,0,8.05,0,1
590,0,3,28.5,0,0,8.05,0,1
591,0,3,35.0,0,0,7.125,0,1
592,1,1,52.0,1,0,78.2667,1,0
593,0,3,47.0,0,0,7.25,0,1
594,0,3,42.0,0,2,7.75,1,0
595,0,2,37.0,1,0,26.0,0,1
596,0,3,36.0,1,1,24.15,0,1
597,1,2,42.5,0,0,33.0,1,0
598,0,3,49.0,0,0,0.0,0,1
599,0,3,49.0,0,0,7.225,0,1
600,1,1,49.0,1,0,56.9292,0,1
601,1,2,24.0,2,1,27.0,1,0
602,0,3,30.666666666666668,0,0,7.8958,0,1
603,0,1,37.333333333333336,0,0,42.4,0,1
604,0,3,44.0,0,0,8.05,0,1
605,1,1,35.0,0,0,26.55,0,1
606,0,3,36.0,1,0,15.55,0,1
607,0,3,30.0,0,0,7.8958,0,1
608,1,1,27.0,0,0,30.5,0,1
609,1,2,22.0,1,2,41.5792,1,0
610,1,1,40.0,0,0,153.4625,1,0
611,0,3,39.0,1,5,31.275,1,0
612,0,3,38.0,0,0,7.05,0,1
613,1,3,37.0,1,0,15.5,1,0
614,0,3,36.0,0,0,7.75,0,1
615,0,3,35.0,0,0,8.05,0,1
616,1,2,24.0,1,2,65.0,1,0
617,0,3,34.0,1,1,14.4,0,1
618,0,3,26.0,1,0,16.1,1,0
619,1,2,4.0,2,1,39.0,1,0
